id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,compound_db_identity:compound_db_identity,compound_db_identity:compound_name,compound_db_identity:mol_formula,compound_db_identity:adduct,compound_db_identity:precursor_mz,compound_db_identity:mz_diff_ppm,compound_db_identity:neutral_mass,compound_db_identity:isotope_pattern_score,datafile:HODA_6008-77-2_10mgmL.raw:feature_state,datafile:HODA_6008-77-2_10mgmL.raw:mz,datafile:HODA_6008-77-2_10mgmL.raw:mz_range:min,datafile:HODA_6008-77-2_10mgmL.raw:mz_range:max,datafile:HODA_6008-77-2_10mgmL.raw:rt,datafile:HODA_6008-77-2_10mgmL.raw:rt_range:min,datafile:HODA_6008-77-2_10mgmL.raw:rt_range:max,datafile:HODA_6008-77-2_10mgmL.raw:height,datafile:HODA_6008-77-2_10mgmL.raw:area,datafile:HODA_6008-77-2_10mgmL.raw:intensity_range:min,datafile:HODA_6008-77-2_10mgmL.raw:intensity_range:max,datafile:HODA_6008-77-2_10mgmL.raw:fwhm,datafile:HODA_6008-77-2_10mgmL.raw:tailing_factor,datafile:HODA_6008-77-2_10mgmL.raw:asymmetry_factor,datafile:HODA_6008-77-2_10mgmL.raw:fragment_scans,datafile:HODA_6008-77-2_10mgmL.raw:compound_name,datafile:HODA_6008-77-2_10mgmL.raw:isotopes,datafile:HODA_6008-77-2_10mgmL.raw:isotope_pattern_score
966,22.32,22.11,22.76,884.5574,884.5543,884.5582,1.6E5,5.4E4,1.4E3,1.6E5,0,,,,,,,,,DETECTED,884.5574,884.5543,884.5582,22.32,22.11,22.76,1.6E5,5.4E4,1.4E3,1.6E5,0.31,1.46,1.80,0,,,
967,22.32,22.11,22.74,884.8910,884.8886,884.8919,1.5E5,5.0E4,3.4E3,1.5E5,0,"BP2; U2; Hauptkomponente + C3H5NO, [M+3H]3+, 884.8893, ",BP2; U2; Hauptkomponente + C3H5NO,C84H133O33N25Gd4,[M+3H]3+,884.8893,1.844,2651.6462,0.686,DETECTED,884.8910,884.8886,884.8919,22.32,22.11,22.74,1.5E5,5.0E4,3.4E3,1.5E5,0.31,1.46,1.80,0,BP2; U2; Hauptkomponente + C3H5NO,10,0.686
968,22.32,22.11,22.72,885.2245,885.2222,885.2252,1.3E5,4.2E4,5.8E3,1.3E5,0,,,,,,,,,DETECTED,885.2245,885.2222,885.2252,22.32,22.11,22.72,1.3E5,4.2E4,5.8E3,1.3E5,0.31,1.45,1.79,0,,,
969,22.32,22.11,22.74,885.8917,885.8884,885.8921,7.7E4,2.4E4,1.6E3,7.7E4,0,,,,,,,,,DETECTED,885.8917,885.8884,885.8921,22.32,22.11,22.74,7.7E4,2.4E4,1.6E3,7.7E4,0.29,1.45,1.53,0,,,
970,22.32,22.11,22.72,886.2251,886.2220,886.2260,5.3E4,1.7E4,2.8E3,5.3E4,0,,,,,,,,,DETECTED,886.2251,886.2220,886.2260,22.32,22.11,22.72,5.3E4,1.7E4,2.8E3,5.3E4,0.29,1.48,1.61,0,,,
971,22.32,22.20,22.51,918.7546,918.7541,918.7553,1.6E3,4.3E2,6.7E2,1.6E3,0,,,,,,,,,DETECTED,918.7546,918.7541,918.7553,22.32,22.20,22.51,1.6E3,4.3E2,6.7E2,1.6E3,0.33,1.29,1.57,0,,,
972,22.32,22.18,22.53,1323.8313,1323.8298,1323.8323,3.7E3,8.8E2,8.2E2,3.7E3,0,,,,,,,,,DETECTED,1323.8313,1323.8298,1323.8323,22.32,22.18,22.53,3.7E3,8.8E2,8.2E2,3.7E3,0.25,1.25,1.50,0,,,
973,22.32,22.16,22.56,1324.3317,1324.3298,1324.3335,4.9E3,1.2E3,8.2E2,4.9E3,0,,,,,,,,,DETECTED,1324.3317,1324.3298,1324.3335,22.32,22.16,22.56,4.9E3,1.2E3,8.2E2,4.9E3,0.26,1.28,1.56,0,,,
974,22.32,22.13,22.58,1325.8328,1325.8314,1325.8361,7.4E3,2.0E3,7.7E2,7.4E3,0,,,,,,,,,DETECTED,1325.8328,1325.8314,1325.8361,22.32,22.13,22.58,7.4E3,2.0E3,7.7E2,7.4E3,0.26,1.18,1.36,0,,,
975,22.32,22.16,22.56,1326.3333,1326.3320,1326.3349,7.1E3,1.8E3,9.9E2,7.1E3,0,,,,,,,,,DETECTED,1326.3333,1326.3320,1326.3349,22.32,22.16,22.56,7.1E3,1.8E3,9.9E2,7.1E3,0.25,1.28,1.56,0,,,
976,22.32,22.16,22.56,1326.8338,1326.8324,1326.8357,5.8E3,1.5E3,8.1E2,5.8E3,0,"BP2; U2; Hauptkomponente + C3H5NO, [M+2H]2+, 1326.8304, ",BP2; U2; Hauptkomponente + C3H5NO,C84H133O33N25Gd4,[M+2H]2+,1326.8304,2.624,2651.6462,0.471,DETECTED,1326.8338,1326.8324,1326.8357,22.32,22.16,22.56,5.8E3,1.5E3,8.1E2,5.8E3,0.26,1.28,1.56,0,BP2; U2; Hauptkomponente + C3H5NO,10,0.471
977,22.32,22.18,22.49,1327.8349,1327.8337,1327.8374,4.4E3,9.9E2,9.9E2,4.4E3,0,,,,,,,,,DETECTED,1327.8349,1327.8337,1327.8374,22.32,22.18,22.49,4.4E3,9.9E2,9.9E2,4.4E3,0.25,1.13,1.25,0,,,
978,22.32,22.21,22.46,1328.3356,1328.3344,1328.3370,3.3E3,5.8E2,1.0E3,3.3E3,0,,,,,,,,,DETECTED,1328.3356,1328.3344,1328.3370,22.32,22.21,22.46,3.3E3,5.8E2,1.0E3,3.3E3,0.20,1.17,1.33,0,,,
979,22.34,22.20,22.49,851.6042,851.6037,851.6046,1.5E3,4.0E2,6.9E2,1.5E3,0,,,,,,,,,DETECTED,851.6042,851.6037,851.6046,22.34,22.20,22.49,1.5E3,4.0E2,6.9E2,1.5E3,0.31,1.06,1.13,0,,,
980,22.34,22.11,22.74,882.2229,882.2202,882.2245,4.1E4,1.3E4,1.2E3,4.1E4,0,,,,,,,,,DETECTED,882.2229,882.2202,882.2245,22.34,22.11,22.74,4.1E4,1.3E4,1.2E3,4.1E4,0.29,1.35,1.34,0,,,
981,22.34,22.11,22.74,882.8900,882.8857,882.8908,1.0E5,3.2E4,1.7E3,1.0E5,0,,,,,,,,,DETECTED,882.8900,882.8857,882.8908,22.34,22.11,22.74,1.0E5,3.2E4,1.7E3,1.0E5,0.31,1.33,1.55,0,,,
982,22.34,22.11,22.76,883.5570,883.5528,883.5574,1.5E5,4.8E4,1.7E3,1.5E5,0,,,,,,,,,DETECTED,883.5570,883.5528,883.5574,22.34,22.11,22.76,1.5E5,4.8E4,1.7E3,1.5E5,0.31,1.34,1.56,0,,,
983,22.34,22.11,22.74,885.5580,885.5544,885.5588,1.0E5,3.3E4,2.3E3,1.0E5,0,,,,,,,,,DETECTED,885.5580,885.5544,885.5588,22.34,22.11,22.74,1.0E5,3.3E4,2.3E3,1.0E5,0.31,1.34,1.37,0,,,
984,22.34,22.09,22.71,886.5588,886.5578,886.5592,3.1E4,9.9E3,1.9E3,3.1E4,0,,,,,,,,,DETECTED,886.5588,886.5578,886.5592,22.34,22.09,22.71,3.1E4,9.9E3,1.9E3,3.1E4,0.30,1.28,1.31,0,,,
985,22.34,22.18,22.51,887.8937,887.8926,887.8945,2.4E3,6.4E2,1.0E3,2.4E3,0,,,,,,,,,DETECTED,887.8937,887.8926,887.8945,22.34,22.18,22.51,2.4E3,6.4E2,1.0E3,2.4E3,0.33,1.06,1.11,0,,,
986,22.34,22.20,22.49,918.4014,918.4008,918.4021,1.5E3,4.0E2,7.1E2,1.5E3,0,,,,,,,,,DETECTED,918.4014,918.4008,918.4021,22.34,22.20,22.49,1.5E3,4.0E2,7.1E2,1.5E3,0.32,1.06,1.13,0,,,
987,22.34,22.20,22.46,1323.3305,1323.3285,1323.3353,2.6E3,5.3E2,8.9E2,2.6E3,0,,,,,,,,,DETECTED,1323.3305,1323.3285,1323.3353,22.34,22.20,22.46,2.6E3,5.3E2,8.9E2,2.6E3,0.24,0.94,0.87,0,,,
988,22.34,22.16,22.56,1325.3324,1325.3305,1325.3338,6.8E3,1.8E3,1.1E3,6.8E3,0,,,,,,,,,DETECTED,1325.3324,1325.3305,1325.3338,22.34,22.16,22.56,6.8E3,1.8E3,1.1E3,6.8E3,0.27,1.15,1.30,0,,,
989,22.34,22.18,22.55,1327.3343,1327.3328,1327.3359,5.2E3,1.3E3,9.6E2,5.2E3,0,,,,,,,,,DETECTED,1327.3343,1327.3328,1327.3359,22.34,22.18,22.55,5.2E3,1.3E3,9.6E2,5.2E3,0.25,1.17,1.33,0,,,
990,22.34,22.21,22.46,1328.8358,1328.8342,1328.8373,2.3E3,4.2E2,7.1E2,2.3E3,0,,,,,,,,,DETECTED,1328.8358,1328.8342,1328.8373,22.34,22.21,22.46,2.3E3,4.2E2,7.1E2,2.3E3,0.22,1.00,1.00,0,,,
991,22.35,22.16,22.56,887.5597,887.5587,887.5608,5.1E3,1.4E3,1.1E3,5.1E3,0,,,,,,,,,DETECTED,887.5597,887.5587,887.5608,22.35,22.16,22.56,5.1E3,1.4E3,1.1E3,5.1E3,0.31,1.05,1.09,0,,,
992,22.35,22.20,22.49,892.2166,892.2152,892.2186,2.0E3,5.1E2,9.3E2,2.0E3,0,,,,,,,,,DETECTED,892.2166,892.2152,892.2186,22.35,22.20,22.49,2.0E3,5.1E2,9.3E2,2.0E3,0.31,0.94,0.89,0,,,
993,22.39,22.20,22.53,891.5497,891.5486,891.5518,2.2E3,6.3E2,9.4E2,2.2E3,0,,,,,,,,,DETECTED,891.5497,891.5486,891.5518,22.39,22.20,22.53,2.2E3,6.3E2,9.4E2,2.2E3,0.32,0.86,0.73,0,,,
994,22.65,22.49,22.74,854.8718,854.8706,854.8725,1.6E4,2.3E3,8.4E2,1.6E4,0,,,,,,,,,DETECTED,854.8718,854.8706,854.8725,22.65,22.49,22.74,1.6E4,2.3E3,8.4E2,1.6E4,0.14,0.79,0.63,0,,,
995,22.67,22.55,22.72,853.8711,853.8707,853.8727,5.5E3,6.8E2,1.1E3,5.5E3,0,,,,,,,,,DETECTED,853.8711,853.8707,853.8727,22.67,22.55,22.72,5.5E3,6.8E2,1.1E3,5.5E3,0.15,0.71,0.43,0,,,
996,22.67,22.55,22.72,854.2047,854.2044,854.2071,8.5E3,1.1E3,2.2E3,8.5E3,0,,,,,,,,,DETECTED,854.2047,854.2044,854.2071,22.67,22.55,22.72,8.5E3,1.1E3,2.2E3,8.5E3,0.15,0.71,0.43,0,,,
997,22.67,22.53,22.74,854.5383,854.5379,854.5413,1.2E4,1.6E3,1.6E3,1.2E4,0,,,,,,,,,DETECTED,854.5383,854.5379,854.5413,22.67,22.53,22.74,1.2E4,1.6E3,1.6E3,1.2E4,0.14,0.75,0.50,0,,,
998,22.67,22.51,22.74,855.2055,855.2050,855.2057,2.0E4,2.7E3,1.7E3,2.0E4,0,,,,,,,,,DETECTED,855.2055,855.2050,855.2057,22.67,22.51,22.74,2.0E4,2.7E3,1.7E3,2.0E4,0.14,0.72,0.46,0,,,
999,22.67,22.49,22.74,855.5391,855.5388,855.5403,2.2E4,3.1E3,1.1E3,2.2E4,0,,,,,,,,,DETECTED,855.5391,855.5388,855.5403,22.67,22.49,22.74,2.2E4,3.1E3,1.1E3,2.2E4,0.14,0.71,0.46,0,,,
1000,22.67,22.49,22.72,855.8728,855.8725,855.8734,2.3E4,3.1E3,1.2E3,2.3E4,0,,,,,,,,,DETECTED,855.8728,855.8725,855.8734,22.67,22.49,22.72,2.3E4,3.1E3,1.2E3,2.3E4,0.14,0.66,0.34,0,,,
1001,22.67,22.46,22.78,856.2065,856.2041,856.2073,2.4E4,3.4E3,7.3E2,2.4E4,0,,,,,,,,,DETECTED,856.2065,856.2041,856.2073,22.67,22.46,22.78,2.4E4,3.4E3,7.3E2,2.4E4,0.14,0.74,0.54,0,,,
1002,22.67,22.49,22.85,856.5401,856.5374,856.5421,2.1E4,3.1E3,9.2E2,2.1E4,0,"BP22; U22, [M+3H]3+, 856.5384, ",BP22; U22,C80H126O32N24Gd4,[M+3H]3+,856.5384,1.992,2566.5934,0.674,DETECTED,856.5401,856.5374,856.5421,22.67,22.49,22.85,2.1E4,3.1E3,9.2E2,2.1E4,0.13,1.03,0.56,0,BP22; U22,10,0.674
1003,22.67,22.51,22.81,856.8738,856.8726,856.8744,1.8E4,2.7E3,1.4E3,1.8E4,0,,,,,,,,,DETECTED,856.8738,856.8726,856.8744,22.67,22.51,22.81,1.8E4,2.7E3,1.4E3,1.8E4,0.14,0.94,0.95,0,,,
1004,22.67,22.53,24.35,857.2076,857.2065,857.2088,1.5E4,1.8E4,1.9E3,1.5E4,0,,,,,,,,,DETECTED,857.2076,857.2065,857.2088,22.67,22.53,24.35,1.5E4,1.8E4,1.9E3,1.5E4,1.77,6.49,11.98,0,,,
1005,22.92,22.76,23.46,1032.2491,1032.2469,1032.2503,6.0E3,3.2E3,1.4E3,6.0E3,0,,,,,,,,,DETECTED,1032.2491,1032.2469,1032.2503,22.92,22.76,23.46,6.0E3,3.2E3,1.4E3,6.0E3,0.66,2.22,3.43,0,,,
1006,22.92,22.72,23.48,1032.8501,1032.8490,1032.8522,7.0E3,3.8E3,1.0E3,7.0E3,0,,,,,,,,,DETECTED,1032.8501,1032.8490,1032.8522,22.92,22.72,23.48,7.0E3,3.8E3,1.0E3,7.0E3,0.69,1.95,2.90,0,,,
1007,22.95,22.74,24.60,1033.2504,1033.2487,1033.2523,5.8E3,8.0E3,1.4E3,5.8E3,0,,,,,,,,,DETECTED,1033.2504,1033.2487,1033.2523,22.95,22.74,24.60,5.8E3,8.0E3,1.4E3,5.8E3,1.79,4.41,7.82,0,,,
1008,23.02,22.72,24.95,831.4237,831.4227,831.4252,1.6E3,3.0E3,6.7E2,1.6E3,0,,,,,,,,,DETECTED,831.4237,831.4227,831.4252,23.02,22.72,24.95,1.6E3,3.0E3,6.7E2,1.6E3,2.24,3.73,6.46,0,,,
1009,23.02,22.67,25.57,858.2086,858.2082,858.2096,2.0E5,3.8E5,7.5E3,2.0E5,0,,,,,,,,,DETECTED,858.2086,858.2082,858.2096,23.02,22.67,25.57,2.0E5,3.8E5,7.5E3,2.0E5,2.16,4.12,6.73,0,,,
1010,23.02,22.74,23.57,1031.8488,1031.8469,1031.8510,6.0E3,3.4E3,1.1E3,6.0E3,0,,,,,,,,,DETECTED,1031.8488,1031.8469,1031.8510,23.02,22.74,23.57,6.0E3,3.4E3,1.1E3,6.0E3,0.77,1.47,1.93,0,,,
1011,23.02,22.71,25.25,1289.5605,1289.5598,1289.5638,8.0E4,1.5E5,1.2E3,8.0E4,0,,,,,,,,,DETECTED,1289.5605,1289.5598,1289.5638,23.02,22.71,25.25,8.0E4,1.5E5,1.2E3,8.0E4,2.10,3.82,6.49,0,,,
1012,23.02,22.72,25.08,1295.3170,1295.3156,1295.3213,1.3E4,2.1E4,1.1E3,1.3E4,0,,,,,,,,,DETECTED,1295.3170,1295.3156,1295.3213,23.02,22.72,25.08,1.3E4,2.1E4,1.1E3,1.3E4,2.03,3.94,6.95,0,,,
1013,23.04,22.78,23.41,647.1607,647.1598,647.1616,4.3E3,1.8E3,1.1E3,4.3E3,0,,,,,,,,,DETECTED,647.1607,647.1598,647.1616,23.04,22.78,23.41,4.3E3,1.8E3,1.1E3,4.3E3,0.52,1.20,1.40,0,,,
1014,23.04,22.72,24.95,827.0079,827.0070,827.0089,2.3E3,4.3E3,8.8E2,2.3E3,0,,,,,,,,,DETECTED,827.0079,827.0070,827.0089,23.04,22.72,24.95,2.3E3,4.3E3,8.8E2,2.3E3,2.21,3.53,6.07,0,,,
1015,23.04,22.72,25.06,827.3232,827.3223,827.3242,2.8E3,5.3E3,7.2E2,2.8E3,0,,,,,,,,,DETECTED,827.3232,827.3223,827.3242,23.04,22.72,25.06,2.8E3,5.3E3,7.2E2,2.8E3,2.22,3.70,6.40,0,,,
1016,23.04,22.72,25.06,827.6384,827.6375,827.6394,2.7E3,5.3E3,7.9E2,2.7E3,0,,,,,,,,,DETECTED,827.6384,827.6375,827.6394,23.04,22.72,25.06,2.7E3,5.3E3,7.9E2,2.7E3,2.25,3.70,6.40,0,,,
1017,23.04,22.55,25.46,857.5415,857.5406,857.5428,3.4E4,6.6E4,2.2E3,3.4E4,0,,,,,,,,,DETECTED,857.5415,857.5406,857.5428,23.04,22.55,25.46,3.4E4,6.6E4,2.2E3,3.4E4,2.24,3.16,4.75,0,,,
1018,23.04,22.69,25.67,858.5422,858.5418,858.5431,3.5E5,6.8E5,1.1E4,3.5E5,0,,,,,,,,,DETECTED,858.5422,858.5418,858.5431,23.04,22.69,25.67,3.5E5,6.8E5,1.1E4,3.5E5,2.17,3.97,6.37,0,,,
1019,23.04,22.69,25.69,858.8757,858.8753,858.8767,5.5E5,1.1E6,1.8E4,5.5E5,0,,,,,,,,,DETECTED,858.8757,858.8753,858.8767,23.04,22.69,25.69,5.5E5,1.1E6,1.8E4,5.5E5,2.17,3.95,6.29,0,,,
1020,23.04,22.69,25.67,859.2092,859.2088,859.2103,7.6E5,1.5E6,2.6E4,7.6E5,0,,,,,,,,,DETECTED,859.2092,859.2088,859.2103,23.04,22.69,25.67,7.6E5,1.5E6,2.6E4,7.6E5,2.18,3.98,6.32,0,,,
1021,23.04,22.69,25.66,859.5426,859.5420,859.5438,1.0E6,2.0E6,3.4E4,1.0E6,0,,,,,,,,,DETECTED,859.5426,859.5420,859.5438,23.04,22.69,25.66,1.0E6,2.0E6,3.4E4,1.0E6,2.17,3.96,6.31,0,,,
1022,23.04,22.69,25.69,859.8759,859.8754,859.8775,1.2E6,2.3E6,4.0E4,1.2E6,0,,,,,,,,,DETECTED,859.8759,859.8754,859.8775,23.04,22.69,25.69,1.2E6,2.3E6,4.0E4,1.2E6,2.17,3.99,6.33,0,,,
1023,23.04,22.69,25.67,860.2091,860.2085,860.2111,1.3E6,2.6E6,4.5E4,1.3E6,0,,,,,,,,,DETECTED,860.2091,860.2085,860.2111,23.04,22.69,25.67,1.3E6,2.6E6,4.5E4,1.3E6,2.18,4.01,6.35,0,,,
1024,23.04,22.69,25.71,860.5424,860.5418,860.5447,1.4E6,2.7E6,4.8E4,1.4E6,0,,,,,,,,,DETECTED,860.5424,860.5418,860.5447,23.04,22.69,25.71,1.4E6,2.7E6,4.8E4,1.4E6,2.18,4.00,6.34,0,,,
1025,23.04,22.69,25.69,860.8757,860.8751,860.8784,1.4E6,2.7E6,4.3E4,1.4E6,0,,,,,,,,,DETECTED,860.8757,860.8751,860.8784,23.04,22.69,25.69,1.4E6,2.7E6,4.3E4,1.4E6,2.17,3.95,6.29,0,,,
1026,23.04,22.69,25.67,861.2091,861.2084,861.2120,1.2E6,2.5E6,4.1E4,1.2E6,0,"product; Hauptkomponente, [M+3H]3+, 861.2103, ",product; Hauptkomponente,C81H128O32N24Gd4,[M+3H]3+,861.2103,-1.420,2580.6091,0.862,DETECTED,861.2091,861.2084,861.2120,23.04,22.69,25.67,1.2E6,2.5E6,4.1E4,1.2E6,2.17,3.98,6.33,0,product; Hauptkomponente,10,0.862
1027,23.04,22.69,25.66,861.5426,861.5420,861.5457,1.1E6,2.1E6,3.8E4,1.1E6,0,,,,,,,,,DETECTED,861.5426,861.5420,861.5457,23.04,22.69,25.66,1.1E6,2.1E6,3.8E4,1.1E6,2.18,3.99,6.34,0,,,
1028,23.04,22.69,25.69,861.8761,861.8755,861.8794,8.9E5,1.8E6,3.0E4,8.9E5,0,,,,,,,,,DETECTED,861.8761,861.8755,861.8794,23.04,22.69,25.69,8.9E5,1.8E6,3.0E4,8.9E5,2.18,3.98,6.32,0,,,
1029,23.04,22.69,25.69,862.2099,862.2093,862.2131,6.5E5,1.3E6,2.2E4,6.5E5,0,,,,,,,,,DETECTED,862.2099,862.2093,862.2131,23.04,22.69,25.69,6.5E5,1.3E6,2.2E4,6.5E5,2.17,3.97,6.33,0,,,
1030,23.04,22.69,25.69,862.5436,862.5430,862.5468,4.9E5,9.6E5,1.6E4,4.9E5,0,,,,,,,,,DETECTED,862.5436,862.5430,862.5468,23.04,22.69,25.69,4.9E5,9.6E5,1.6E4,4.9E5,2.17,3.98,6.34,0,,,
1031,23.04,22.76,23.49,1031.6485,1031.6473,1031.6510,5.4E3,2.8E3,1.9E3,5.4E3,0,,,,,,,,,DETECTED,1031.6485,1031.6473,1031.6510,23.04,22.76,23.49,5.4E3,2.8E3,1.9E3,5.4E3,0.70,1.31,1.63,0,,,
1032,23.04,22.74,23.58,1032.6497,1032.6486,1032.6513,7.3E3,4.3E3,1.7E3,7.3E3,0,,,,,,,,,DETECTED,1032.6497,1032.6486,1032.6513,23.04,22.74,23.58,7.3E3,4.3E3,1.7E3,7.3E3,0.71,1.41,1.83,0,,,
1033,23.04,22.72,24.95,1233.1405,1233.1393,1233.1428,2.8E3,5.3E3,7.1E2,2.8E3,0,,,,,,,,,DETECTED,1233.1405,1233.1393,1233.1428,23.04,22.72,24.95,2.8E3,5.3E3,7.1E2,2.8E3,2.16,3.53,6.07,0,,,
1034,23.04,22.72,24.93,1233.6080,1233.6066,1233.6101,2.8E3,5.3E3,7.1E2,2.8E3,0,,,,,,,,,DETECTED,1233.6080,1233.6066,1233.6101,23.04,22.72,24.93,2.8E3,5.3E3,7.1E2,2.8E3,2.15,3.51,6.01,0,,,
1035,23.04,22.71,25.67,1288.8097,1288.8090,1288.8133,2.5E5,4.6E5,1.5E3,2.5E5,0,,,,,,,,,DETECTED,1288.8097,1288.8090,1288.8133,23.04,22.71,25.67,2.5E5,4.6E5,1.5E3,2.5E5,2.07,3.67,6.11,0,,,
1036,23.04,22.71,25.16,1289.0602,1289.0593,1289.0649,6.0E4,1.0E5,1.3E3,6.0E4,0,,,,,,,,,DETECTED,1289.0602,1289.0593,1289.0649,23.04,22.71,25.16,6.0E4,1.0E5,1.3E3,6.0E4,2.06,3.62,6.07,0,,,
1037,23.04,22.71,25.62,1289.3101,1289.3094,1289.3147,3.1E5,5.7E5,2.6E3,3.1E5,0,,,,,,,,,DETECTED,1289.3101,1289.3094,1289.3147,23.04,22.71,25.62,3.1E5,5.7E5,2.6E3,3.1E5,2.07,3.67,6.12,0,,,
1038,23.04,22.71,25.69,1289.8104,1289.8098,1289.8138,3.6E5,6.8E5,2.2E3,3.6E5,0,,,,,,,,,DETECTED,1289.8104,1289.8098,1289.8138,23.04,22.71,25.69,3.6E5,6.8E5,2.2E3,3.6E5,2.10,3.67,6.12,0,,,
1039,23.04,22.71,25.27,1291.0614,1291.0605,1291.0673,9.4E4,1.7E5,1.0E3,9.4E4,0,,,,,,,,,DETECTED,1291.0614,1291.0605,1291.0673,23.04,22.71,25.27,9.4E4,1.7E5,1.0E3,9.4E4,2.06,3.64,6.07,0,,,
1040,23.04,22.71,25.69,1291.3115,1291.3107,1291.3163,3.4E5,6.4E5,2.0E3,3.4E5,0,"product; Hauptkomponente, [M+2H]2+, 1291.3118, ",product; Hauptkomponente,C81H128O32N24Gd4,[M+2H]2+,1291.3118,-0.266,2580.6091,0.699,DETECTED,1291.3115,1291.3107,1291.3163,23.04,22.71,25.69,3.4E5,6.4E5,2.0E3,3.4E5,2.09,3.67,6.11,0,product; Hauptkomponente,10,0.699
1041,23.04,22.71,25.57,1291.8120,1291.8111,1291.8172,2.7E5,5.1E5,2.2E3,2.7E5,0,,,,,,,,,DETECTED,1291.8120,1291.8111,1291.8172,23.04,22.71,25.57,2.7E5,5.1E5,2.2E3,2.7E5,2.09,3.68,6.12,0,,,
1042,23.04,22.71,25.67,1292.3123,1292.3115,1292.3172,2.2E5,4.0E5,1.3E3,2.2E5,0,,,,,,,,,DETECTED,1292.3123,1292.3115,1292.3172,23.04,22.71,25.67,2.2E5,4.0E5,1.3E3,2.2E5,2.06,3.67,6.09,0,,,
1043,23.04,22.72,24.85,1293.0637,1293.0626,1293.0659,1.8E4,2.8E4,5.5E3,1.8E4,0,,,,,,,,,DETECTED,1293.0637,1293.0626,1293.0659,23.04,22.72,24.85,1.8E4,2.8E4,5.5E3,1.8E4,2.02,3.37,5.73,0,,,
1044,23.04,22.74,24.92,1350.4783,1350.4769,1350.4813,2.3E3,4.1E3,7.3E2,2.3E3,0,,,,,,,,,DETECTED,1350.4783,1350.4769,1350.4813,23.04,22.74,24.92,2.3E3,4.1E3,7.3E2,2.3E3,2.18,3.65,6.31,0,,,
1045,23.04,22.72,24.93,1351.5511,1351.5496,1351.5529,2.9E3,5.5E3,7.8E2,2.9E3,0,,,,,,,,,DETECTED,1351.5511,1351.5496,1351.5529,23.04,22.72,24.93,2.9E3,5.5E3,7.8E2,2.9E3,2.15,3.51,6.01,0,,,
1046,23.04,22.72,24.95,1352.0877,1352.0863,1352.0892,2.8E3,5.2E3,7.0E2,2.8E3,0,,,,,,,,,DETECTED,1352.0877,1352.0863,1352.0892,23.04,22.72,24.95,2.8E3,5.2E3,7.0E2,2.8E3,2.16,3.53,6.07,0,,,
1047,23.04,22.74,24.88,1353.1607,1353.1587,1353.1629,2.0E3,3.7E3,6.9E2,2.0E3,0,,,,,,,,,DETECTED,1353.1607,1353.1587,1353.1629,23.04,22.74,24.88,2.0E3,3.7E3,6.9E2,2.0E3,2.14,3.60,6.19,0,,,
1048,23.06,22.58,25.55,857.8751,857.8745,857.8764,8.8E4,1.8E5,3.9E3,8.8E4,0,,,,,,,,,DETECTED,857.8751,857.8745,857.8764,23.06,22.58,25.55,8.8E4,1.8E5,3.9E3,8.8E4,2.21,3.08,5.80,0,,,
1049,23.06,22.69,25.62,862.8775,862.8769,862.8807,3.1E5,6.0E5,9.8E3,3.1E5,0,,,,,,,,,DETECTED,862.8775,862.8769,862.8807,23.06,22.69,25.62,3.1E5,6.0E5,9.8E3,3.1E5,2.16,3.72,5.95,0,,,
1050,23.06,22.69,25.44,863.2112,863.2104,863.2144,1.9E5,3.8E5,1.0E4,1.9E5,0,,,,,,,,,DETECTED,863.2112,863.2104,863.2144,23.06,22.69,25.44,1.9E5,3.8E5,1.0E4,1.9E5,2.18,3.76,5.95,0,,,
1051,23.06,22.72,24.97,891.2159,891.2148,891.2171,2.2E3,4.2E3,8.9E2,2.2E3,0,,,,,,,,,DETECTED,891.2159,891.2148,891.2171,23.06,22.72,24.97,2.2E3,4.2E3,8.9E2,2.2E3,2.23,3.38,5.75,0,,,
1052,23.06,22.72,25.06,891.5686,891.5676,891.5696,2.7E3,5.1E3,7.0E2,2.7E3,0,,,,,,,,,DETECTED,891.5686,891.5676,891.5696,23.06,22.72,25.06,2.7E3,5.1E3,7.0E2,2.7E3,2.27,3.51,6.02,0,,,
1053,23.06,22.71,25.11,1288.5599,1288.5591,1288.5626,3.4E4,6.3E4,1.6E3,3.4E4,0,,,,,,,,,DETECTED,1288.5599,1288.5591,1288.5626,23.06,22.71,25.11,3.4E4,6.3E4,1.6E3,3.4E4,2.07,3.43,5.75,0,,,
1054,23.06,22.71,25.22,1291.5618,1291.5610,1291.5658,7.2E4,1.3E5,1.1E3,7.2E4,0,,,,,,,,,DETECTED,1291.5618,1291.5610,1291.5658,23.06,22.71,25.22,7.2E4,1.3E5,1.1E3,7.2E4,2.08,3.46,5.71,0,,,
1055,23.06,22.72,25.13,1292.5630,1292.5617,1292.5676,3.1E4,5.3E4,1.3E3,3.1E4,0,,,,,,,,,DETECTED,1292.5630,1292.5617,1292.5676,23.06,22.72,25.13,3.1E4,5.3E4,1.3E3,3.1E4,2.00,3.60,6.02,0,,,
1056,23.06,22.71,25.60,1292.8129,1292.8121,1292.8189,1.6E5,2.9E5,8.2E2,1.6E5,0,,,,,,,,,DETECTED,1292.8129,1292.8121,1292.8189,23.06,22.71,25.60,1.6E5,2.9E5,8.2E2,1.6E5,2.07,3.48,5.74,0,,,
